ploidy,experiment,sample.ID,fraction,ug.N,d15N,ug.C,d13C,C.N,average?,d15N.h.s,d13C.h.s
diploid,insitu,101D,host,29.5,4.5,126.2,-15.6,4.28,,-1.4,1.1
diploid,insitu,101D,symbiont,7.7,5.9,47,-16.7,6.1,,,
diploid,insitu,128D,host,27.9,4.4,126.5,-17.2,4.53,,0,0.7
diploid,insitu,128D,symbiont,9,4.4,64.2,-17.9,7.13,,,
diploid,insitu,135D,host,23,5.2,103.8,-16.8,4.51,,1,0.1
diploid,insitu,135D,symbiont,10.5,4.2,75.8,-16.9,7.22,,,
diploid,insitu,13D,host,61.6,4.8,319,-16.8,5.18,,0.8,0.1
diploid,insitu,13D,symbiont,12.4,4,86.1,-16.9,6.94,,,
diploid,insitu,142D,host,40.8,4.9,223.8,-17.6,5.49,,NA,1
diploid,insitu,142D,symbiont,5,NA,37.8,-18.6,7.56,,,
diploid,insitu,15D,host,53.2,4.8,253.3,-17.6,4.76,,-0.1,0.5
diploid,insitu,15D,symbiont,6.6,4.9,48.3,-18.1,7.32,,,
diploid,insitu,160D,host,50.8,4.7,241.6,-16.1,4.76,,0.1,0.3
diploid,insitu,160D,symbiont,9.7,4.6,63.3,-16.4,6.53,,,
diploid,insitu,168D,host,43.8,4.7,225.3,-15.4,5.14,,0,0.1
diploid,insitu,168D,symbiont,10.5,4.7,64.8,-15.5,6.17,,,
diploid,insitu,181D,host,NA,NA,NA,NA,NA,,NA,NA
diploid,insitu,181D,symbiont,6.9,NA,40.4,-18,5.86,,,
diploid,insitu,18D,host,43.1,4.8,210.6,-17.1,4.9,< average,0,0.6
diploid,insitu,18D,symbiont,9,4.7,55.6,-17.7,6.3,< average,,
diploid,insitu,202D,host,53.6,4.7,247.8,-16.8,4.62,,0.6,-0.1
diploid,insitu,202D,symbiont,9,4.1,71.5,-16.7,7.94,,,
diploid,insitu,221D,host,46.5,4.6,223.4,-17.8,4.8,,NA,NA
diploid,insitu,221D,symbiont,NA,NA,NA,NA,NA,,,
diploid,insitu,227D,host,NA,NA,NA,NA,NA,,NA,NA
diploid,insitu,227D,symbiont,6.1,4.4,37.9,-18.1,6.21,,,
diploid,insitu,243D,host,NA,NA,NA,NA,NA,,NA,NA
diploid,insitu,243D,symbiont,39.3,4.8,202.5,-15.6,5.15,,,
diploid,insitu,247D,host,21.3,4.4,93.7,-16.2,4.4,,-0.2,-0.3
diploid,insitu,247D,symbiont,12.8,4.6,94.6,-15.9,7.39,,,
diploid,insitu,260D,host,33.6,5.2,153.5,-15.7,4.57,,0.2,0.1
diploid,insitu,260D,symbiont,19.4,5,116.5,-15.8,6.01,,,
diploid,insitu,261D,host,34.1,4.6,154.7,-16.4,4.54,,0.3,0.4
diploid,insitu,261D,symbiont,11.2,4.3,75.8,-16.8,6.77,,,
diploid,insitu,266D,host,38.8,4.7,176.6,-16.6,4.55,,NA,1.5
diploid,insitu,266D,symbiont,2.9,NA,18.6,-18.1,6.41,,,
diploid,insitu,268T,host,NA,NA,NA,NA,NA,,NA,NA
diploid,insitu,268T,symbiont,NA,NA,NA,NA,NA,,,
diploid,insitu,278D,host,43.7,4.8,236.2,-17.9,5.41,,NA,0.4
diploid,insitu,278D,symbiont,5.9,NA,42.9,-18.3,7.27,,,
diploid,insitu,295D,host,19.8,4.9,99.6,-15.6,5.03,,-0.2,1.4
diploid,insitu,295D,symbiont,6.1,5.1,38.3,-17,6.28,,,
diploid,insitu,296D,host,48,4.8,224.9,-15.8,4.69,,0.2,0.5
diploid,insitu,296D,symbiont,8.4,4.6,62,-16.3,7.38,,,
diploid,insitu,302D,host,31,4.8,153.3,-16.2,4.95,,NA,1.4
diploid,insitu,302D,symbiont,5.3,NA,37.2,-17.6,7.02,,,
diploid,insitu,307D,host,46.7,4.5,214.8,-17.1,4.6,< average,NA,0.8
diploid,insitu,307D,symbiont,4.7,NA,29.4,-17.9,6.26,,,
